inning,inning_top_bot,score_differential,base_1_occupied_pre,base_2_occupied_pre,base_3_occupied_pre,outs_in_inning_so_far_before_event,win_probability
1,top,-3,False,True,False,2,0.31262814961385704
1,top,-3,False,False,True,0,0.2550877642936409
1,top,-3,False,False,True,1,0.28520282140086456
1,top,-3,False,False,True,2,0.3073030479926742
1,top,-3,False,False,False,0,0.29539763388857876
1,top,-3,False,False,False,1,0.31410600446018067
1,top,-3,False,False,False,2,0.32570825223846034
1,top,-2,True,True,True,0,0.2608784399917506
1,top,-2,True,True,True,1,0.30821560192376796
1,top,-2,True,True,True,2,0.3515746649721065
1,top,-2,True,True,False,0,0.32699196546503656
1,top,-2,True,True,False,1,0.3673198463726694
1,top,-2,True,True,False,2,0.3981773601939832
1,top,-2,True,False,True,0,0.3126912078214966
1,top,-2,True,False,True,1,0.3554048241339208
1,top,-2,True,False,True,2,0.38949089044943797
1,top,-2,True,False,False,0,0.37077338908315827
1,top,-2,True,False,False,1,0.40062649903747066
1,top,-2,True,False,False,2,0.4205027506516756
1,top,-2,False,True,True,0,0.29490437905798195
1,top,-2,False,True,True,1,0.33990333621989277
1,top,-2,False,True,True,2,0.3776461778199252
1,top,-2,False,True,False,0,0.35668184563177696
1,top,-2,False,True,False,1,0.390439371934698
1,top,-2,False,True,False,2,0.4139811991751716
1,top,-2,False,False,True,0,0.34396054487334377
1,top,-2,False,False,True,1,0.380805109359725
1,top,-2,False,False,True,2,0.40756477446959943
1,top,-2,False,False,False,0,0.3931763816452639
1,top,-2,False,False,False,1,0.41575990117720424
1,top,-2,False,False,False,2,0.4296947740019823
1,top,-1,True,True,True,0,0.34700262860705455
1,top,-1,True,True,True,1,0.40265177421799003
1,top,-1,True,True,True,2,0.452471939309236
1,top,-1,True,True,False,0,0.4243532380364384
1,top,-1,True,True,False,1,0.470317941222423
1,top,-1,True,True,False,2,0.5049536290269715
1,top,-1,True,False,True,0,0.40784294050152825
1,top,-1,True,False,True,1,0.4568245327582964
1,top,-1,True,False,True,2,0.49524657862977356
1,top,-1,True,False,False,0,0.4742160511589389
1,top,-1,True,False,False,1,0.5076847414098794
1,top,-1,True,False,False,2,0.5297601396720861
1,top,-1,False,True,True,0,0.38714257477794506
1,top,-1,False,True,True,1,0.4391619525640055
1,top,-1,False,True,True,2,0.48195678803681974
1,top,-1,False,True,False,0,0.4582740906215329
1,top,-1,False,True,False,1,0.496308078600004
1,top,-1,False,True,False,2,0.5225340673948786
1,top,-1,False,False,True,0,0.4437968729180788
1,top,-1,False,False,True,1,0.4855073056885053
1,top,-1,False,False,True,2,0.5154084407375583
1,top,-1,False,False,False,0,0.49936903328763094
1,top,-1,False,False,False,1,0.5245065276290758
1,top,-1,False,False,False,2,0.5399183812155088
1,top,0,True,True,True,0,0.4428703122889976
1,top,0,True,True,True,1,0.5034118992231807
1,top,0,True,True,True,2,0.5561924056627601
1,top,0,True,True,False,0,0.5265594595480292
1,top,0,True,True,False,1,0.5748001654548699
1,top,0,True,True,False,2,0.610506052720837
1,top,0,True,False,True,0,0.5089716920986516
1,top,0,True,False,True,1,0.5607446474298213
1,top,0,True,False,True,2,0.6005508679472688
1,top,0,True,False,False,0,0.5788450040236033
1,top,0,True,False,False,1,0.6133000344438081
1,top,0,True,False,False,2,0.6357767442275004
1,top,0,False,True,True,0,0.48671424990214424
1,top,0,False,True,True,1,0.5422148309991773
1,top,0,False,True,True,2,0.5868568343764443
1,top,0,False,True,False,0,0.562258687628577
1,top,0,False,True,False,1,0.6016414058102532
1,top,0,False,True,False,2,0.628439731457826
1,top,0,False,False,True,0,0.5470920975978609
1,top,0,False,False,True,1,0.5905228230693398
1,top,0,False,False,True,2,0.621185458662982
1,top,0,False,False,False,0,0.6047834587275566
1,top,0,False,False,False,1,0.6304443988469544
1,top,0,False,False,False,2,0.6460589059084603
1,bot,-10,True,True,True,0,0.041959272690083954
1,bot,-10,True,True,True,1,0.03175065690917675
1,bot,-10,True,True,True,2,0.024191674951074327
1,bot,-10,True,True,False,0,0.028296890791732955
1,bot,-10,True,True,False,1,0.02177941012019239
1,bot,-10,True,True,False,2,0.017469169656080346
1,bot,-10,True,False,True,0,0.03090015422822545
1,bot,-10,True,False,True,1,0.0235902641810884
1,bot,-10,True,False,True,2,0.018631480076404344
1,bot,-10,True,False,False,0,0.021270786772198822
1,bot,-10,True,False,False,1,0.01714812036210496
1,bot,-10,True,False,False,2,0.014643082951421181
1,bot,-10,False,True,True,0,0.03438845968247202
1,bot,-10,False,True,True,1,0.026085957506428545
1,bot,-10,False,True,True,2,0.020279216350468237
1,bot,-10,False,True,False,0,0.023391885029304584
1,bot,-10,False,True,False,1,0.018502728685703865
1,bot,-10,False,True,False,2,0.015446051286229475
1,bot,-10,False,False,True,0,0.025416660064029303
1,bot,-10,False,False,True,1,0.01983238357940271
1,bot,-10,False,False,True,2,0.0162538260081295
1,bot,-10,False,False,False,0,0.01813375067576515
1,bot,-10,False,False,False,1,0.015225281299325476
1,bot,-10,False,False,False,2,0.013540514571954678
1,bot,-9,True,True,True,0,0.06545682904694894
1,bot,-9,True,True,True,1,0.04988114712255725
1,bot,-9,True,True,True,2,0.03826239795358315
1,bot,-9,True,True,False,0,0.044582089453011745
1,bot,-9,True,True,False,1,0.03453768137898515
1,bot,-9,True,True,False,2,0.027860777897396587
1,bot,-9,True,False,True,0,0.04857769412987822
1,bot,-9,True,False,True,1,0.03733456708159032
1,bot,-9,True,False,True,2,0.02966406413697701
1,bot,-9,True,False,False,0,0.03375123823053385
1,bot,-9,True,False,False,1,0.027362314767216758
1,bot,-9,True,False,False,2,0.023467503568101216
1,bot,-9,False,True,True,0,0.053917869035535686
1,bot,-9,False,True,True,1,0.041181440534775515
1,bot,-9,False,True,True,2,0.0322169443453276
1,bot,-9,False,True,False,0,0.037028401561692695
1,bot,-9,False,True,False,1,0.029464412489626463
1,bot,-9,False,True,False,2,0.024717011474584393
1,bot,-9,False,False,True,0,0.040150650424139095
1,bot,-9,False,False,True,1,0.03152506099248309
1,bot,-9,False,False,True,2,0.025972989135257855
1,bot,-9,False,False,False,0,0.02889210688902358
1,bot,-9,False,False,False,1,0.024373568649377585
1,bot,-9,False,False,False,2,0.02175015316815119
1,bot,-8,True,True,True,0,0.10003981895473474
1,bot,-8,True,True,True,1,0.07703356911239655
1,bot,-8,True,True,True,2,0.059681988187211744
1,bot,-8,True,True,False,0,0.0691413115689504
1,bot,-8,True,True,False,1,0.05408183355785146
1,bot,-8,True,True,False,2,0.04399470719929256
1,bot,-8,True,False,True,0,0.07509547537442988
1,bot,-8,True,False,True,1,0.058288751000854705
1,bot,-8,True,False,True,2,0.046725240547652896
1,bot,-8,True,False,False,0,0.05289696971035674
1,bot,-8,True,False,False,1,0.04323911419501407
1,bot,-8,True,False,False,2,0.037322874646111795
1,bot,-8,False,True,True,0,0.08302274248454419
1,bot,-8,False,True,True,1,0.06405772675568869
1,bot,-8,False,True,True,2,0.05058290524702211
1,bot,-8,False,True,False,0,0.05782875508168925
1,bot,-8,False,True,False,1,0.04642315678633026
1,bot,-8,False,True,False,2,0.039223265531219444
1,bot,-8,False,False,True,0,0.06251383204479985
1,bot,-8,False,False,True,1,0.049538307901778406
1,bot,-8,False,False,True,2,0.04113122777388824
1,bot,-8,False,False,False,0,0.04555691257648242
1,bot,-8,False,False,False,1,0.038701143795386826
1,bot,-8,False,False,False,2,0.03470726450803878
1,bot,-7,True,True,True,0,0.14875433497038582
1,bot,-7,True,True,True,1,0.1162494060252226
1,bot,-7,True,True,True,2,0.09134645553565587
1,bot,-7,True,True,False,0,0.10496621001837379
1,bot,-7,True,True,False,1,0.08323177557057071
1,bot,-7,True,True,False,2,0.06851533833214049
1,bot,-7,True,False,True,0,0.11348517469688799
1,bot,-7,True,False,True,1,0.08933127933381144
1,bot,-7,True,False,True,2,0.07251189266483407
1,bot,-7,True,False,False,0,0.08150986646553951
1,bot,-7,True,False,False,1,0.06740770743981625
1,bot,-7,True,False,False,2,0.05870941159830365
1,bot,-7,False,True,True,0,0.12476521412966715
1,bot,-7,False,True,True,1,0.09766009109744264
1,bot,-7,False,True,True,2,0.07814181357117948
1,bot,-7,False,True,False,0,0.08866541572484951
1,bot,-7,False,True,False,1,0.0720702205936908
1,bot,-7,False,True,False,2,0.061508400266997484
1,bot,-7,False,False,True,0,0.09543510005177394
1,bot,-7,False,False,True,1,0.07661919900728936
1,bot,-7,False,False,True,2,0.06431382095729864
1,bot,-7,False,False,False,0,0.0708030450782306
1,bot,-7,False,False,False,1,0.06073986106349301
1,bot,-7,False,False,False,2,0.05484935553100681
1,bot,-6,True,True,True,0,0.213746708380446
1,bot,-6,True,True,True,1,0.17037869580470993
1,bot,-6,True,True,True,2,0.13644470276444465
1,bot,-6,True,True,False,0,0.15508386861137238
1,bot,-6,True,True,False,1,0.1252441203031548
1,bot,-6,True,True,False,2,0.1047441677158626
1,bot,-6,True,False,True,0,0.16664364977785592
1,bot,-6,True,False,True,1,0.13366992479500103
1,bot,-6,True,False,True,2,0.11033546101352597
1,bot,-6,True,False,False,0,0.12285804220979887
1,bot,-6,True,False,False,1,0.10319136378779938
1,bot,-6,True,False,False,2,0.0909488721259214
1,bot,-6,False,True,True,0,0.18183759361635077
1,bot,-6,False,True,True,1,0.14510973701008628
1,bot,-6,False,True,True,2,0.11818131956194144
1,bot,-6,False,True,False,0,0.13275209548399797
1,bot,-6,False,True,False,1,0.10971843626656011
1,bot,-6,False,True,False,2,0.09489765702138536
1,bot,-6,False,False,True,0,0.1420609839561034
1,bot,-6,False,False,True,1,0.11606291975103249
1,bot,-6,False,False,True,2,0.09884664442373015
